,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
0,Denny Lemaster,R,73,182,0.13,4,Low home run hitter (under 25 HR),24.00938262,24,2
1,Joe Nolan,L,71,175,0.263,27,Mid home run hitter (25-100 HR),24.40487998,24,5.196152423
2,Denny Doyle,L,69,175,0.25,16,Low home run hitter (under 25 HR),25.84015963,25,4
3,Jose Cardenal,R,70,150,0.275,138,Big home run hitter (over 200 HR),21.52040816,21,11.74734012
4,Mike Ryan,R,74,205,0.193,28,Mid home run hitter (25-100 HR),26.31756757,26,5.291502622
5,Fritz Peterson,B,72,185,0.159,2,Low home run hitter (under 25 HR),25.08777006,25,1.414213562
6,Dick Bertell,R,72,200,0.25,10,Low home run hitter (under 25 HR),27.12191358,27,3.16227766
7,Rod Kanehl,R,73,180,0.241,6,Low home run hitter (under 25 HR),23.74554325,23,2.449489743
8,Juan Bonilla,R,69,170,0.256,7,Low home run hitter (under 25 HR),25.10186936,25,2.645751311
9,Frank Tepedino,L,71,185,0.241,6,Low home run hitter (under 25 HR),25.79944455,25,2.449489743
10,Rick Wise,R,73,180,0.195,15,Low home run hitter (under 25 HR),23.74554325,23,3.872983346
11,Darrell Evans,L,74,200,0.248,414,Big home run hitter (over 200 HR),25.67567568,25,20.34698995
12,Buck Martinez,R,70,190,0.225,58,Mid home run hitter (25-100 HR),27.25918367,27,7.615773106
13,John Wockenfuss,R,72,190,0.262,86,Mid home run hitter (25-100 HR),25.7658179,25,9.273618496
14,Tommy McCraw,L,72,183,0.246,75,Mid home run hitter (25-100 HR),24.81655093,24,8.660254038
15,Lee Lacy,R,73,175,0.286,91,Mid home run hitter (25-100 HR),23.08594483,23,9.539392014
16,Pete Rose,B,71,192,0.303,160,Big home run hitter (over 200 HR),26.77563975,26,12.64911064
17,Danny Walton,R,72,195,0.223,28,Mid home run hitter (25-100 HR),26.44386574,26,5.291502622
18,Bobby Cox,R,71,180,0.225,9,Low home run hitter (under 25 HR),25.10216227,25,3
19,Brad Wellman,R,72,170,0.231,6,Low home run hitter (under 25 HR),23.05362654,23,2.449489743
20,Jeff Newman,R,74,215,0.224,63,Mid home run hitter (25-100 HR),27.60135135,27,7.937253933
21,Pedro Gonzalez,R,72,176,0.244,8,Low home run hitter (under 25 HR),23.86728395,23,2.828427125
22,Tommie Reynolds,R,74,190,0.226,12,Low home run hitter (under 25 HR),24.39189189,24,3.464101615
23,Gene Clines,R,69,170,0.277,5,Low home run hitter (under 25 HR),25.10186936,25,2.236067978
24,Jim Hickman,R,75,192,0.252,159,Big home run hitter (over 200 HR),23.99573333,23,12.60952021
25,Jack Billingham,R,76,195,0.111,0,Low home run hitter (under 25 HR),23.73355263,23,0
26,Jerry Buchek,R,71,185,0.22,22,Low home run hitter (under 25 HR),25.79944455,25,4.69041576
27,Ivan DeJesus,R,71,175,0.254,21,Low home run hitter (under 25 HR),24.40487998,24,4.582575695
28,Gary Nolan,R,74,197,0.138,1,Low home run hitter (under 25 HR),25.29054054,25,1
29,Fred Whitfield,L,73,190,0.253,108,Big home run hitter (over 200 HR),25.0647401,25,10.39230485
30,Larry Dierker,R,76,215,0.136,4,Low home run hitter (under 25 HR),26.16776316,26,2
31,Dave Skaggs,R,74,200,0.241,3,Low home run hitter (under 25 HR),25.67567568,25,1.732050808
32,Dick Ruthven,R,75,190,0.183,1,Low home run hitter (under 25 HR),23.74577778,23,1
33,Dave Kingman,R,78,210,0.236,442,Big home run hitter (over 200 HR),24.265286,24,21.02379604
34,Eric Soderholm,R,71,187,0.264,102,Big home run hitter (over 200 HR),26.07835747,26,10.09950494
35,Ed Brinkman,R,72,170,0.224,60,Mid home run hitter (25-100 HR),23.05362654,23,7.745966692
36,Wayne Garrett,L,71,175,0.239,61,Mid home run hitter (25-100 HR),24.40487998,24,7.810249676
37,Tony Muser,L,74,180,0.259,7,Low home run hitter (under 25 HR),23.10810811,23,2.645751311
38,Ted Ford,R,70,180,0.219,17,Low home run hitter (under 25 HR),25.8244898,25,4.123105626
39,Jim Lyttle,L,72,180,0.248,9,Low home run hitter (under 25 HR),24.40972222,24,3
40,Scot Thompson,L,75,195,0.262,5,Low home run hitter (under 25 HR),24.37066667,24,2.236067978
41,Gene Locklear,L,70,165,0.274,9,Low home run hitter (under 25 HR),23.67244898,23,3
42,Bo Diaz,R,71,185,0.255,87,Mid home run hitter (25-100 HR),25.79944455,25,9.327379053
43,Bump Wills,B,69,172,0.266,36,Mid home run hitter (25-100 HR),25.39718547,25,6
44,Pat Putnam,L,72,205,0.255,63,Mid home run hitter (25-100 HR),27.79996142,27,7.937253933
45,Kurt Bevacqua,R,72,180,0.236,27,Mid home run hitter (25-100 HR),24.40972222,24,5.196152423
46,Syd O'Brien,R,73,185,0.23,24,Low home run hitter (under 25 HR),24.40514168,24,4.898979486
47,Chris Chambliss,L,73,195,0.279,185,Big home run hitter (over 200 HR),25.72433853,25,13.60147051
48,Tom Satriano,L,73,185,0.225,21,Low home run hitter (under 25 HR),24.40514168,24,4.582575695
49,Jeffrey Leonard,R,74,200,0.266,144,Big home run hitter (over 200 HR),25.67567568,25,12
50,Dal Maxvill,R,71,157,0.217,6,Low home run hitter (under 25 HR),21.89466376,21,2.449489743
51,Cesar Tovar,R,69,155,0.278,46,Mid home run hitter (25-100 HR),22.88699853,22,6.782329983
52,Mickey Lolich,B,73,170,0.11,0,Low home run hitter (under 25 HR),22.42634641,22,0
53,Jack Heidemann,R,72,175,0.211,9,Low home run hitter (under 25 HR),23.73167438,23,3
54,Rich Rollins,R,70,185,0.269,77,Mid home run hitter (25-100 HR),26.54183673,26,8.774964387
55,Walt Bond,L,79,228,0.256,41,Mid home run hitter (25-100 HR),25.68242269,25,6.403124237
56,Merv Rettenmund,R,70,190,0.271,66,Mid home run hitter (25-100 HR),27.25918367,27,8.124038405
57,Byron Browne,R,74,190,0.236,30,Mid home run hitter (25-100 HR),24.39189189,24,5.477225575
58,Hector Torres,R,72,175,0.216,18,Low home run hitter (under 25 HR),23.73167438,23,4.242640687
59,Walt Williams,R,66,165,0.27,33,Mid home run hitter (25-100 HR),26.62878788,26,5.744562647
60,Jerry Koosman,R,74,205,0.119,2,Low home run hitter (under 25 HR),26.31756757,26,1.414213562
61,Steve Lombardozzi,R,72,175,0.233,20,Low home run hitter (under 25 HR),23.73167438,23,4.472135955
62,Joe Azcue,R,72,190,0.252,50,Mid home run hitter (25-100 HR),25.7658179,25,7.071067812
63,Elliott Maddox,R,71,180,0.261,18,Low home run hitter (under 25 HR),25.10216227,25,4.242640687
64,Omar Moreno,L,74,180,0.252,37,Mid home run hitter (25-100 HR),23.10810811,23,6.08276253
65,Julian Javier,R,73,175,0.257,78,Mid home run hitter (25-100 HR),23.08594483,23,8.831760866
66,Elio Chacon,R,69,160,0.232,4,Low home run hitter (under 25 HR),23.6252888,23,2
